hora,multas,tiempos,choques,velocidades,cant_autos
0.0,8.0,542.0,1.0,81.0,359.0
1.0,10.0,666.0,0.0,81.0,359.0
2.0,9.0,666.0,0.0,81.0,360.0
3.0,10.0,667.0,0.0,81.0,360.0
4.0,9.0,668.0,0.0,81.0,360.0
5.0,9.0,666.0,0.0,81.0,360.0
6.0,9.0,667.0,0.0,81.0,360.0
7.0,7.0,655.0,0.0,79.0,465.0
8.0,5.0,687.0,0.0,79.0,461.0
9.0,8.0,687.0,0.0,79.0,458.0
10.0,7.0,687.0,0.0,79.0,453.0
11.0,8.0,708.0,1.0,81.0,358.0
12.0,10.0,668.0,0.0,81.0,360.0
13.0,9.0,666.0,0.0,81.0,360.0
14.0,9.0,667.0,1.0,81.0,360.0
15.0,10.0,666.0,0.0,81.0,360.0
16.0,7.0,659.0,0.0,79.0,448.0
17.0,8.0,681.0,0.0,79.0,445.0
18.0,7.0,687.0,0.0,79.0,440.0
19.0,8.0,685.0,0.0,79.0,441.0
20.0,8.0,703.0,0.0,81.0,359.0
21.0,9.0,668.0,0.0,81.0,360.0
22.0,7.0,667.0,0.0,81.0,360.0
23.0,8.0,667.0,0.0,105.0,360.0
